ab_speed,total_force,FlexXForce,LatXForce
0.0002132,46.94458657,1.167981314,0.486252028
0.0014247,46.77688413,1.176438636,0.488537778
0.0024775,46.76815983,1.185572852,0.48568734
0.0029607,46.75943936,1.192833298,0.479845367
0.0039016,46.71589439,1.201065645,0.471456806
0.0015279,46.49959889,1.205734599,0.471366434
0.0019092,45.63723576,1.206192141,0.486858031
0.0001198,45.20077906,1.215448949,0.498067384
0.0034468,44.77341198,1.21828454,0.517177682
0.0029966,44.25225999,1.216494627,0.531956417
0.0014099,43.84277888,1.221021392,0.544483471
0.0018597,43.44058724,1.231106242,0.550175037
0.0000984,43.04540223,1.237985768,0.560063728
0.000096,42.55024499,1.241190646,0.568556374
0.000092,42.42985989,1.255075256,0.582095248
0.002584,42.4147287,1.267776241,0.58320252
0.002518,42.39960779,1.27453221,0.580111434
0.002912,42.32415687,1.278189537,0.573746271
0.003792,41.95067655,1.274461554,0.56176151
0.003163,41.30842483,1.263211631,0.548947658
0.001594,41.01757696,1.267443128,0.550784023
0.003587,40.67153722,1.270578823,0.570458981
0.004788,40.13450854,1.270257195,0.593629516
0.003243,39.8201995,1.270662566,0.609766715
0.003242,39.51141572,1.271477358,0.625821314
0.002901,39.07011296,1.268997269,0.639030768
0.001203,38.81983825,1.275231687,0.652212102
0.000371,38.81801498,1.2965217,0.670969389
0.001707,38.81619191,1.313539934,0.681418249
0.000044,38.80707982,1.327590201,0.69476315
0.001638,38.76159921,1.334949477,0.6970886
0.003997,38.53617357,1.337205223,0.688988247
0.003112,38.2176764,1.332650376,0.679204545
0.003209,37.80495992,1.324685796,0.667257543
0.003297,37.2752791,1.311717072,0.652764688
0.003294,36.60796449,1.293725465,0.636063383
0.003186,36.36223072,1.291222813,0.62757574
0.000171,36.12038036,1.285524337,0.626580238
0.002825,35.84575444,1.285428754,0.640599478
0.002999,35.84485977,1.295433232,0.659760489
0.005141,35.84411077,1.311177572,0.691791338
0.003971,35.84247789,1.323662708,0.716720525
0.002933,35.88140718,1.335147161,0.736541233
0.002394,36.90928126,1.384836233,0.77646055
0.00047,39.79777794,1.512315562,0.858004274
0.000092,44.77281453,1.721066991,0.984366146
0.002524,51.70042886,2.016316726,1.154015613
0.000471,60.51918016,2.38506089,1.378445367
0.002995,71.50579833,2.82948444,1.623374688
0.004398,78.07500708,3.104262282,1.760661677
0.00287,84.00129986,3.349971838,1.886425591
0.00269,87.92394312,3.518716204,1.969241346
0.00306,89.69862567,3.614854615,2.014442765
0.00024,89.72498656,3.658087702,2.061162391
0.00231,89.75129469,3.693265776,2.114235348
0.00315,89.88204834,3.732801468,2.175298369
0.00311,90.51657186,3.788118532,2.243018754
0.00325,92.6706824,3.907922677,2.350628927
0.00323,95.18523643,4.045372548,2.470418589
0.00302,97.06977554,4.157498486,2.576134773
0.00192,99.25618516,4.288859761,2.68906842
0.00095,100.4561173,4.385914083,2.762904869
0.00188,100.6794075,4.446002636,2.80769597
0.00265,100.8021263,4.468558258,2.808915762
