speed,difference_flex,difference_lateral,sterm_mast,sterm_mast_acc,sterm_mast_L,sterm_mast_L_acc
-0.004689,0.01505,0.00391,0.01012551,0.179289193,0,0.218729757
0.003617,0.01824,0.005148,0,0.179289193,0,0.218729757
-0.003852,0.01853,0.005582,0,0.179289193,0,0.218729757
-0.003018,0.01876,0.005933,0,0.179289193,0,0.218729757
-0.002218,0.01902,0.006251,0,0.179289193,0,0.218729757
0.001917,0.01946,0.006366,0,0.179289193,0,0.218729757
0.000739,0.01985,0.006546,0,0.179289193,0,0.218729757
-0.001015,0.02027,0.00688,0,0.179289193,0,0.218729757
0.000242,0.0206,0.007069,0,0.179289193,0,0.218729757
0.000252,0.02093,0.007262,0,0.179289193,0,0.218729757
0.001599,0.02118,0.007292,0,0.179289193,0,0.218729757
0.002275,0.02137,0.007239,0,0.179289193,0,0.218729757
0.003995,0.02155,0.007041,0,0.179289193,0,0.218729757
0.002595,0.02168,0.006916,0,0.179289193,0,0.218729757
0.002,0.02185,0.006868,0,0.179289193,0,0.218729757
-0.003347,0.02214,0.007324,0,0.179289193,0,0.218729757
-0.00361,0.02243,0.007801,0,0.179289193,0,0.218729757
-0.004148,0.02274,0.008346,0,0.179289193,0,0.218729757
-0.003306,0.023,0.008787,0,0.179289193,0,0.218729757
-0.003004,0.02326,0.009218,0,0.179289193,0,0.218729757
-0.0014622,0.0236,0.009572,0,0.179289193,0,0.218729757
0.0015594,0.02407,0.009778,0,0.179289193,0,0.218729757
0.000374,0.02449,0.01005,0,0.179289193,0,0.218729757
-0.0002132,0.02488,0.010358,0,0.179289193,0,0.218729757
0.0014247,0.02515,0.010444,0,0.179289193,0,0.218729757
0.0024775,0.02535,0.010385,0,0.179289193,0,0.218729757
0.0029607,0.02551,0.010262,0,0.179289193,0,0.218729757
0.0039016,0.02571,0.010092,0,0.179289193,0,0.218729757
0.0015279,0.02593,0.010137,0,0.179289193,0,0.218729757
-0.0019092,0.02643,0.010668,0,0.179289193,0,0.218729757
0.0001198,0.02689,0.011019,0,0.179289193,0,0.218729757
-0.0034468,0.02721,0.011551,0,0.179289193,0,0.218729757
-0.0029966,0.02749,0.012021,0,0.179289193,0,0.218729757
-0.0014099,0.02785,0.012419,0,0.179289193,0,0.218729757
0.0018597,0.02834,0.012665,0,0.179289193,0,0.218729757
-9.84E-05,0.02876,0.013011,0,0.179289193,0,0.218729757
-9.6E-05,0.02917,0.013362,0,0.179289193,0,0.218729757
-9.2E-05,0.02958,0.013719,0,0.179289193,0,0.218729757
0.002584,0.02989,0.01375,0,0.179289193,0,0.218729757
0.002518,0.03006,0.013682,0,0.179289193,0,0.218729757
0.002912,0.0302,0.013556,0,0.179289193,0,0.218729757
0.003792,0.03038,0.013391,0,0.179289193,0,0.218729757
0.003163,0.03058,0.013289,0,0.179289193,0,0.218729757
0.001594,0.0309,0.013428,0,0.179289193,0,0.218729757
-0.003587,0.03124,0.014026,0,0.179289193,0,0.218729757
-0.004788,0.03165,0.014791,0,0.179289193,0,0.218729757
-0.003243,0.03191,0.015313,0,0.179289193,0,0.218729757
-0.003242,0.03218,0.015839,0,0.179289193,0,0.218729757
-0.002901,0.03248,0.016356,0,0.179289193,0,0.218729757
-0.001203,0.03285,0.016801,0,0.179289193,0,0.218729757
0.000371,0.0334,0.017285,0,0.179289193,0,0.218729757
0.001707,0.03384,0.017555,0,0.179289193,0,0.218729757
4.4E-05,0.03421,0.017903,0,0.179289193,0,0.218729757
0.001638,0.03444,0.017984,0,0.179289193,0,0.218729757
0.003997,0.0347,0.017879,0,0.179289193,0,0.218729757
0.003112,0.03487,0.017772,0,0.179289193,0,0.218729757
0.003209,0.03504,0.01765,0,0.179289193,0,0.218729757
0.003297,0.03519,0.017512,0,0.179289193,0,0.218729757
0.003294,0.03534,0.017375,0,0.179289193,0,0.218729757
0.003186,0.03551,0.017259,0,0.179289193,0,0.218729757
-0.000171,0.03559,0.017347,0,0.179289193,0,0.218729757
-0.002825,0.03586,0.017871,0,0.179289193,0,0.218729757
-0.002999,0.03614,0.018406,0,0.179289193,0,0.218729757
-0.005141,0.03658,0.0193,0,0.179289193,0,0.218729757
-0.003971,0.03693,0.0199964,0,0.179289193,0,0.218729757
-0.002933,0.03721,0.0205271,0,0.179289193,0,0.218729757
-0.002394,0.03752,0.021037,0,0.179289193,0,0.218729757
-0.00047,0.038,0.0215591,0,0.179289193,0,0.218729757
9.2E-05,0.03844,0.0219858,0,0.179289193,0,0.218729757
0.002524,0.039,0.0223212,0,0.179289193,0,0.218729757
-0.000471,0.03941,0.022777,0,0.179289193,0,0.218729757
0.002995,0.03957,0.0227027,0,0.179289193,0,0.218729757
0.004398,0.03976,0.0225509,0,0.179289193,0,0.218729757
0.00287,0.03988,0.0224571,0,0.179289193,0,0.218729757
0.00269,0.04002,0.0223971,0,0.179289193,0,0.218729757
0.00306,0.0403,0.0224579,0,0.179289193,0,0.218729757
-0.00024,0.04077,0.022972,0,0.179289193,0,0.218729757
-0.00231,0.04115,0.0235566,0,0.179289193,0,0.218729757
-0.00315,0.04153,0.0242017,0,0.179289193,0,0.218729757
-0.00311,0.04185,0.0247802,0,0.179289193,0,0.218729757
-0.00325,0.04217,0.0253654,0,0.179289193,0,0.218729757
-0.00323,0.0425,0.0259538,0,0.179289193,0,0.218729757
-0.00302,0.04283,0.026539,0,0.179289193,0,0.218729757
-0.00192,0.04321,0.0270922,0,0.179289193,0,0.218729757
0.00095,0.04366,0.0275036,0,0.179289193,0,0.218729757
0.00188,0.04416,0.02788749,0,0.179289193,0,0.218729757
0.00265,0.04433,0.02786564,0,0.179289193,0,0.218729757
0.00342,0.04452,0.02780219,0,0.179289193,0,0.218729757
0.00368,0.04468,0.02768977,0,0.179289193,0,0.218729757
0.00292,0.04481,0.02760234,0,0.179289193,0,0.218729757
0.00267,0.04496,0.02755823,0,0.179289193,0,0.218729757
0.00234,0.04527,0.02770018,0,0.179289193,0,0.218729757
0.00119,0.04565,0.02801882,0,0.179289193,0,0.218729757
-0.00018,0.04616,0.0286023,0,0.179289193,0,0.218729757
-0.00405,0.04672,0.0295372,0,0.179289193,0,0.218729757
-0.00338,0.04709,0.0302178,0,0.179289193,0,0.218729757
-0.00342,0.04745,0.030911,0,0.179289193,0,0.218729757
-0.00289,0.04777,0.0315127,0,0.179289193,0,0.218729757
-0.00275,0.04809,0.0321202,0,0.179289193,0,0.218729757
-0.00211,0.04844,0.0327155,0,0.179289193,0,0.218729757
-0.00131,0.04894,0.0334441,0,0.179289193,0,0.218729757
0.00204,0.04925,0.0336726,0,0.179289193,0,0.218729757
0.00417,0.04953,0.0336854,0,0.179289193,0,0.218729757
0.00532,0.04981,0.0336221,0,0.179289193,0,0.218729757
0.00259,0.04994,0.0335691,0,0.179289193,0,0.218729757
0.00314,0.05008,0.033505,0,0.179289193,0,0.218729757
0.00397,0.05029,0.0334758,0,0.179289193,0,0.218729757
0.00128,0.05057,0.0337655,0,0.179289193,0,0.218729757
-0.00407,0.0515,0.0353453,0,0.179289193,0,0.218729757
0.00245,0.05185,0.0356604,0,0.179289193,0,0.218729757
-0.00178,0.05214,0.0362185,0,0.179289193,0,0.218729757
-0.00319,0.05256,0.037089,0,0.179289193,0,0.218729757
-0.00329,0.05297,0.037978,0,0.179289193,0,0.218729757
-0.00265,0.05332,0.038713,0,0.179289193,0,0.218729757
-0.00239,0.05367,0.039446,0,0.179289193,0,0.218729757
-0.00126,0.05406,0.040155,0,0.179289193,0,0.218729757
0.00311,0.05462,0.040778,0,0.179289193,0,0.218729757
0.00211,0.0548,0.040882,0,0.179289193,0,0.218729757
0.0024,0.05493,0.040895,0,0.179289193,0,0.218729757
0.00385,0.0551,0.040857,0,0.179289193,0,0.218729757
0.00285,0.05523,0.040809,0,0.179289193,0,0.218729757
0.00282,0.05534,0.04076,0,0.179289193,0,0.218729757
0.00268,0.05547,0.040743,0,0.179289193,0,0.218729757
0.00271,0.05568,0.040863,0,0.179289193,0,0.218729757
-0.00052,0.05621,0.041722,0,0.179289193,0,0.218729757
-0.00049,0.05674,0.042577,0,0.179289193,0,0.218729757
-0.00213,0.05706,0.043238,0,0.179289193,0,0.218729757
-0.00215,0.05739,0.043893,0,0.179289193,0,0.218729757
-0.00274,0.0578,0.044725,0,0.179289193,0,0.218729757
-0.0021,0.05816,0.04542,0,0.179289193,0,0.218729757
-0.00123,0.05856,0.046097,0,0.179289193,0,0.218729757
0.00217,0.05908,0.046727,0,0.179289193,0,0.218729757
0.0003,0.05952,0.047382,0,0.179289193,0,0.218729757
0.00029,0.05998,0.048036,0,0.179289193,0,0.218729757
0.00266,0.06013,0.048118,0,0.179289193,0,0.218729757
0.00237,0.06023,0.048128,0,0.179289193,0,0.218729757
0.00234,0.06032,0.048142,0,0.179289193,0,0.218729757
0.00208,0.06044,0.048229,0,0.179289193,0,0.218729757
0.00146,0.06077,0.048665,0,0.179289193,0,0.218729757
-0.00117,0.06142,0.04974,0,0.179289193,0,0.218729757
-0.00113,0.06206,0.050802,0,0.179289193,0,0.218729757
-0.00172,0.0624,0.051415,0,0.179289193,0,0.218729757
-0.00184,0.06273,0.05202,0,0.179289193,0,0.218729757
-0.00235,0.06317,0.052786,0,0.179289193,0,0.218729757
-0.0015,0.06352,0.053403,0,0.179289193,0,0.218729757
0.00026,0.06395,0.054023,0,0.179289193,0,0.218729757
0.00101,0.06439,0.054642,0,0.179289193,0,0.218729757
0.00111,0.06463,0.054951,0,0.179289193,0,0.218729757
0.00164,0.06477,0.055089,0,0.179289193,0,0.218729757
0.00241,0.06489,0.05516,0,0.179289193,0,0.218729757
0.00245,0.065,0.055206,0,0.179289193,0,0.218729757
0.00173,0.06508,0.055247,0,0.179289193,0,0.218729757
0.0014,0.06521,0.05539,0,0.179289193,0,0.218729757
0.00057,0.06568,0.056042,0,0.179289193,0,0.218729757
-0.00141,0.06644,0.057212,0,0.179289193,0,0.218729757
-0.00046,0.06676,0.057709,0,0.179289193,0,0.218729757
-0.00178,0.06712,0.058298,0,0.179289193,0,0.218729757
-0.00252,0.06762,0.059122,0,0.179289193,0,0.218729757
-0.00105,0.0679,0.059576,0,0.179289193,0,0.218729757
0.00043,0.06824,0.060045,0,0.179289193,0,0.218729757
0.00301,0.06895,0.060938,0,0.179289193,0,0.218729757
-0.0003,0.06929,0.06143,0,0.179289193,0,0.218729757
0.00101,0.06948,0.061663,0,0.179289193,0,0.218729757
0.0027,0.06962,0.061764,0,0.179289193,0,0.218729757
0.00177,0.0697,0.061807,0,0.179289193,0,0.218729757
0.00176,0.06977,0.06185,0,0.179289193,0,0.218729757
0.00195,0.0699,0.061956,0,0.179289193,0,0.218729757
0.00073,0.07019,0.062338,0,0.179289193,0,0.218729757
-0.00242,0.07074,0.063213,0,0.179289193,0,0.218729757
-0.00206,0.07119,0.06392,0,0.179289193,0,0.218729757
-0.00174,0.07156,0.064506,0,0.179289193,0,0.218729757
-0.00174,0.07192,0.06509,0,0.179289193,0,0.218729757
-0.00148,0.0723,0.065676,0,0.179289193,0,0.218729757
-0.00028,0.07272,0.066281,0,0.179289193,0,0.218729757
0.00154,0.07316,0.066833,0,0.179289193,0,0.218729757
0.00022,0.07356,0.067361,0,0.179289193,0,0.218729757
0.00019,0.07404,0.068034,0,0.179289193,0,0.218729757
0.00162,0.07413,0.068082,0,0.179289193,0,0.218729757
0.00165,0.0742,0.06812,0,0.179289193,0,0.218729757
0.00166,0.07428,0.068153,0,0.179289193,0,0.218729757
0.00219,0.07437,0.068197,0,0.179289193,0,0.218729757
