ab_speed,difference_flex,difference_lateral,total_power
9.2E-05,0.03844,0.0219858,0
0.002524,0.039,0.0223212,0
0.000471,0.03941,0.022777,0
0.002995,0.03957,0.0227027,0
0.004398,0.03976,0.0225509,0
0.00287,0.03988,0.0224571,0
0.00269,0.04002,0.0223971,0
0.00306,0.0403,0.0224579,0
0.00024,0.04077,0.022972,0
0.00231,0.04115,0.0235566,0
0.00315,0.04153,0.0242017,0
0.00311,0.04185,0.0247802,0
0.00325,0.04217,0.0253654,0
0.00323,0.0425,0.0259538,0
0.00302,0.04283,0.026539,0
0.00192,0.04321,0.0270922,0
0.00095,0.04366,0.0275036,0
0.00188,0.04416,0.02788749,0
0.00265,0.04433,0.02786564,0
0.00342,0.04452,0.02780219,0
0.00368,0.04468,0.02768977,0
0.00292,0.04481,0.02760234,0
0.00267,0.04496,0.02755823,0
0.00234,0.04527,0.02770018,0
0.00119,0.04565,0.02801882,0
0.00018,0.04616,0.0286023,0
0.00405,0.04672,0.0295372,0
0.00338,0.04709,0.0302178,0
0.00342,0.04745,0.030911,0
0.00289,0.04777,0.0315127,0
0.00275,0.04809,0.0321202,0
0.00211,0.04844,0.0327155,0
0.00131,0.04894,0.0334441,0
0.00204,0.04925,0.0336726,0
0.00417,0.04953,0.0336854,0
0.00532,0.04981,0.0336221,0
0.00259,0.04994,0.0335691,0
0.00314,0.05008,0.033505,0
0.00397,0.05029,0.0334758,0
0.00128,0.05057,0.0337655,0
0.00407,0.0515,0.0353453,0
0.00245,0.05185,0.0356604,0
0.00178,0.05214,0.0362185,0
0.00319,0.05256,0.037089,0
0.00329,0.05297,0.037978,0
0.00265,0.05332,0.038713,0
0.00239,0.05367,0.039446,0
0.00126,0.05406,0.040155,0
0.00311,0.05462,0.040778,0
0.00211,0.0548,0.040882,0
0.0024,0.05493,0.040895,0
0.00385,0.0551,0.040857,0
0.00285,0.05523,0.040809,0
0.00282,0.05534,0.04076,0
0.00268,0.05547,0.040743,0
0.00271,0.05568,0.040863,0
0.00052,0.05621,0.041722,0
0.00049,0.05674,0.042577,0
0.00213,0.05706,0.043238,0
0.00215,0.05739,0.043893,0
0.00274,0.0578,0.044725,0
0.0021,0.05816,0.04542,0
0.00123,0.05856,0.046097,0
0.00217,0.05908,0.046727,0
0.0003,0.05952,0.047382,0
0.00029,0.05998,0.048036,0
0.00266,0.06013,0.048118,0
0.00237,0.06023,0.048128,0
0.00234,0.06032,0.048142,0
0.00208,0.06044,0.048229,0
